time,wx,wy,wz,a0,a1,a2,a3
1.059999999999997833e+01,7.862086699559261982e-02,8.655445169140275896e-02,3.802583001892327619e-02,7.949541639674438942e-01,3.999699103038447112e-01,3.924192472625007699e-01,2.325490967952549282e-01
1.069999999999997797e+01,7.854502095987044019e-02,8.667958824797329653e-02,3.788414402784941182e-02,7.912271966498476417e-01,4.028197430900403164e-01,3.960127315222602418e-01,2.342428106277236743e-01
1.079999999999997762e+01,7.846934828373609838e-02,8.680413826977999292e-02,3.774239007646795763e-02,7.874710451462930694e-01,4.056470932184315648e-01,3.995981455343948219e-01,2.359260708465985845e-01
1.089999999999997726e+01,7.839385043043066437e-02,8.692810270709541709e-02,3.760056920496636368e-02,7.836858626088111235e-01,4.084518456149780485e-01,4.031753254322253954e-01,2.375988542131902692e-01
1.099999999999997691e+01,7.831852885512533002e-02,8.705148251346818411e-02,3.745868244521158991e-02,7.798718032633932262e-01,4.112338863780538034e-01,4.067441076766805108e-01,2.392611377541406514e-01
1.109999999999997655e+01,7.824338500493033255e-02,8.717427864563220830e-02,3.731673082076300552e-02,7.760290224030187423e-01,4.139931027805867636e-01,4.103043290641735230e-01,2.409128987611831030e-01
1.119999999999997620e+01,7.816842031890426645e-02,8.729649206341640044e-02,3.717471534688571860e-02,7.721576763806532462e-01,4.167293832721369884e-01,4.138558267344470964e-01,2.425541147909100193e-01
1.129999999999997584e+01,7.809363622806382577e-02,8.741812372965480915e-02,3.703263703056429434e-02,7.682579226022248076e-01,4.194426174809182117e-01,4.173984381783884534e-01,2.441847636645502473e-01
1.139999999999997549e+01,7.801903415539383768e-02,8.753917461009727563e-02,3.689049687051685483e-02,7.643299195195718543e-01,4.221326962157593843e-01,4.209320012458118154e-01,2.458048234677541188e-01
1.149999999999997513e+01,7.794461551585772641e-02,8.765964567332050483e-02,3.674829585720958136e-02,7.603738266233697196e-01,4.247995114680097051e-01,4.244563541532111461e-01,2.474142725503885309e-01
1.159999999999997478e+01,7.787038171640828232e-02,8.777953789063963619e-02,3.660603497287161223e-02,7.563898044360288786e-01,4.274429564133836457e-01,4.279713354914784218e-01,2.490130895263391320e-01
1.169999999999997442e+01,7.779633415599879198e-02,8.789885223602030007e-02,3.646371519151030138e-02,7.523780145045732004e-01,4.300629254137511848e-01,4.314767842335928139e-01,2.506012532733231102e-01
1.179999999999997407e+01,7.772247422559457053e-02,8.801758968599109056e-02,3.632133747892685172e-02,7.483386193934908892e-01,4.326593140188682574e-01,4.349725397422746775e-01,2.521787429327093655e-01
1.189999999999997371e+01,7.764880330818473009e-02,8.813575121955659342e-02,3.617890279273235782e-02,7.442717826775646639e-01,4.352320189680519147e-01,4.384584417776087872e-01,2.537455379093485619e-01
