time,wx,wy,wz,a0,a1,a2,a3
8.799999999999984723e+00,8.001402353922205946e-02,8.420063496118412871e-02,4.056332073615431799e-02,1.857033564346541599e-01,1.757738515884473551e-01,1.078284446894034881e-01,0.000000000000000000e+00
8.899999999999984368e+00,7.993531648790609678e-02,8.433648735021215259e-02,4.042304545420671164e-02,1.877643655601906603e-01,1.780745812568192976e-01,1.090252035115957668e-01,0.000000000000000000e+00
8.999999999999984013e+00,7.985675507008510587e-02,8.447173676595848280e-02,4.028268205359371301e-02,1.898247713349567600e-01,1.803835325021556357e-01,1.102225548835460839e-01,0.000000000000000000e+00
9.099999999999983658e+00,7.977834089532592765e-02,8.460638408369219876e-02,4.014223172599104550e-02,1.918845897360370867e-01,1.827007627963362080e-01,1.114205404419287282e-01,0.000000000000000000e+00
9.199999999999983302e+00,7.970007556503516666e-02,8.474043018366858582e-02,4.000169565459597842e-02,1.939438366837413219e-01,1.850263301771896129e-01,1.126192019084551327e-01,0.000000000000000000e+00
9.299999999999982947e+00,7.962196067246037068e-02,8.487387595103047799e-02,3.986107501413215654e-02,1.960025280400329306e-01,1.873602932550564593e-01,1.138185810936023362e-01,0.000000000000000000e+00
9.399999999999982592e+00,7.954399780269179321e-02,8.500672227571001716e-02,3.972037097085490132e-02,1.980606796069210584e-01,1.897027112194422105e-01,1.150187199003675775e-01,0.000000000000000000e+00
9.499999999999982236e+00,7.946618853266451676e-02,8.513897005233080073e-02,3.957958468255703965e-02,2.001183071248146816e-01,1.920536438457608741e-01,1.162196603280497703e-01,0.000000000000000000e+00
9.599999999999981881e+00,7.938853443116108966e-02,8.527062018011048738e-02,3.943871729857517661e-02,2.021754262708380379e-01,1.944131515021709222e-01,1.174214444760585396e-01,0.000000000000000000e+00
9.699999999999981526e+00,7.931103705881467625e-02,8.540167356276380517e-02,3.929776995979644694e-02,2.042320526571064498e-01,1.967812951565049984e-01,1.186241145477515690e-01,0.000000000000000000e+00
9.799999999999981171e+00,7.923369796811252641e-02,8.553213110840598987e-02,3.915674379866577320e-02,2.062882018289612929e-01,1.991581363832946039e-01,1.198277128543010495e-01,0.000000000000000000e+00
9.899999999999980815e+00,7.915651870340004170e-02,8.566199372945665358e-02,3.901563993919354018e-02,2.083438892631633288e-01,2.015437373708915680e-01,1.210322818185898819e-01,0.000000000000000000e+00
9.999999999999980460e+00,7.907950080088517464e-02,8.579126234254406957e-02,3.887445949696375497e-02,2.103991303660432965e-01,2.039381609286873565e-01,1.222378639791384808e-01,0.000000000000000000e+00
1.009999999999998010e+01,7.900264578864329978e-02,8.591993786840994296e-02,3.873320357914267903e-02,2.124539404716085378e-01,2.063414704944322442e-01,1.234445019940629690e-01,0.000000000000000000e+00
1.019999999999997975e+01,7.892595518662257059e-02,8.604802123181454210e-02,3.859187328448786952e-02,2.145083348396047696e-01,2.087537301416553248e-01,1.246522386450653885e-01,0.000000000000000000e+00
1.029999999999997939e+01,7.884943050664959541e-02,8.617551336144232965e-02,3.845046970335770642e-02,2.165623286535317549e-01,2.111750045871874926e-01,1.258611168414569270e-01,0.000000000000000000e+00
1.039999999999997904e+01,7.877307325243561309e-02,8.630241518980802384e-02,3.830899391772134288e-02,2.186159370186117334e-01,2.136053591987885358e-01,1.270711796242148250e-01,0.000000000000000000e+00
1.049999999999997868e+01,7.869688491958307108e-02,8.642872765316310379e-02,3.816744700116909972e-02,2.206691749597095020e-01,2.160448600028802568e-01,1.282824701700738257e-01,0.000000000000000000e+00
1.059999999999997833e+01,7.862086699559261982e-02,8.655445169140275896e-02,3.802583001892327619e-02,2.227220574192028402e-01,2.184935736923871163e-01,1.294950317956530261e-01,0.000000000000000000e+00
1.069999999999997797e+01,7.854502095987044019e-02,8.667958824797329653e-02,3.788414402784941182e-02,2.247745992548020877e-01,2.209515676346861246e-01,1.307089079616188532e-01,0.000000000000000000e+00
1.079999999999997762e+01,7.846934828373609838e-02,8.680413826977999292e-02,3.774239007646795763e-02,2.268268152373177915e-01,2.234189098796677264e-01,1.319241422768851757e-01,0.000000000000000000e+00
1.089999999999997726e+01,7.839385043043066437e-02,8.692810270709541709e-02,3.760056920496636368e-02,2.288787200483747286e-01,2.258956691679092910e-01,1.331407785028512480e-01,0.000000000000000000e+00
1.099999999999997691e+01,7.831852885512533002e-02,8.705148251346818411e-02,3.745868244521158991e-02,2.309303282780714173e-01,2.283819149389632319e-01,1.343588605576785389e-01,0.000000000000000000e+00
1.109999999999997655e+01,7.824338500493033255e-02,8.717427864563220830e-02,3.731673082076300552e-02,2.329816544225835895e-01,2.308777173397612570e-01,1.355784325206071672e-01,0.000000000000000000e+00
1.119999999999997620e+01,7.816842031890426645e-02,8.729649206341640044e-02,3.717471534688571860e-02,2.350327128817100431e-01,2.333831472331367451e-01,1.367995386363129173e-01,0.000000000000000000e+00
1.129999999999997584e+01,7.809363622806382577e-02,8.741812372965480915e-02,3.703263703056429434e-02,2.370835179563598738e-01,2.358982762064670835e-01,1.380222233193058035e-01,0.000000000000000000e+00
1.139999999999997549e+01,7.801903415539383768e-02,8.753917461009727563e-02,3.689049687051685483e-02,2.391340838459792839e-01,2.384231765804379066e-01,1.392465311583709897e-01,0.000000000000000000e+00
1.149999999999997513e+01,7.794461551585772641e-02,8.765964567332050483e-02,3.674829585720958136e-02,2.411844246459166896e-01,2.409579214179310702e-01,1.404725069210531196e-01,0.000000000000000000e+00
1.159999999999997478e+01,7.787038171640828232e-02,8.777953789063963619e-02,3.660603497287161223e-02,2.432345543447244074e-01,2.435025845330383854e-01,1.417001955581849160e-01,0.000000000000000000e+00
1.169999999999997442e+01,7.779633415599879198e-02,8.789885223602030007e-02,3.646371519151030138e-02,2.452844868213956697e-01,2.460572405002030560e-01,1.429296422084611329e-01,0.000000000000000000e+00
1.179999999999997407e+01,7.772247422559457053e-02,8.801758968599109056e-02,3.632133747892685172e-02,2.473342358425350551e-01,2.486219646634910130e-01,1.441608922030587214e-01,0.000000000000000000e+00
1.189999999999997371e+01,7.764880330818473009e-02,8.813575121955659342e-02,3.617890279273235782e-02,2.493838150594609726e-01,2.511968331459939474e-01,1.453939910703043459e-01,0.000000000000000000e+00
1.199999999999997335e+01,7.757532277879440608e-02,8.825333781811084410e-02,3.603641208236415400e-02,2.514332380052382576e-01,2.537819228593662935e-01,1.466289845403900838e-01,0.000000000000000000e+00
1.209999999999997300e+01,7.750203400449720559e-02,8.837035046535121618e-02,3.589386628910258559e-02,2.534825180916394083e-01,2.563773115134985181e-01,1.478659185501385864e-01,0.000000000000000000e+00
1.219999999999997264e+01,7.742893834442807210e-02,8.848679014719292024e-02,3.575126634608809945e-02,2.555316686060326026e-01,2.589830776263283840e-01,1.491048392478185325e-01,0.000000000000000000e+00
1.229999999999997229e+01,7.735603714979640000e-02,8.860265785168384978e-02,3.560861317833870915e-02,2.575807027081947753e-01,2.615993005337928223e-01,1.503457929980114849e-01,0.000000000000000000e+00
1.239999999999997193e+01,7.728333176389950987e-02,8.871795456891998222e-02,3.546590770276778631e-02,2.596296334270476458e-01,2.642260603999225799e-01,1.515888263865314278e-01,0.000000000000000000e+00
1.249999999999997158e+01,7.721082352213641531e-02,8.883268129096123789e-02,3.532315082820221969e-02,2.616784736573153358e-01,2.668634382270818617e-01,1.528339862253977610e-01,0.000000000000000000e+00
1.259999999999997122e+01,7.713851375202189498e-02,8.894683901174785245e-02,3.518034345540091423e-02,2.637272361561009970e-01,2.695115158663553556e-01,1.540813195578631112e-01,0.000000000000000000e+00
1.269999999999997087e+01,7.706640377320091162e-02,8.906042872701719348e-02,3.503748647707360941e-02,2.657759335393810041e-01,2.721703760280849149e-01,1.553308736634971265e-01,0.000000000000000000e+00
1.279999999999997051e+01,7.699449489746322539e-02,8.917345143422106268e-02,3.489458077790003054e-02,2.678245782784144935e-01,2.748401022925586190e-01,1.565826960633270593e-01,0.000000000000000000e+00
1.289999999999997016e+01,7.692278842875839573e-02,8.928590813244353941e-02,3.475162723454939401e-02,2.698731826960661384e-01,2.775207791208541552e-01,1.578368345250368565e-01,0.000000000000000000e+00
1.299999999999996980e+01,7.685128566321104693e-02,8.939779982231928213e-02,3.460862671570019700e-02,2.719217589630398280e-01,2.802124918658396857e-01,1.590933370682254266e-01,0.000000000000000000e+00
1.309999999999996945e+01,7.677998788913635575e-02,8.950912750595226008e-02,3.446558008206035417e-02,2.739703190940216415e-01,2.829153267833340313e-01,1.603522519697256898e-01,0.000000000000000000e+00
1.319999999999996909e+01,7.670889638705591373e-02,8.961989218683508174e-02,3.432248818638763271e-02,2.760188749437293976e-01,2.856293710434294475e-01,1.616136277689853018e-01,0.000000000000000000e+00
1.329999999999996874e+01,7.663801242971376992e-02,8.973009486976872562e-02,3.417935187351042042e-02,2.780674382028665015e-01,2.883547127419791578e-01,1.628775132735107156e-01,0.000000000000000000e+00
1.339999999999996838e+01,7.656733728209277889e-02,8.983973656078282632e-02,3.403617198034877139e-02,2.801160203939779270e-01,2.910914409122524749e-01,1.641439575643754700e-01,0.000000000000000000e+00
1.349999999999996803e+01,7.649687220143125410e-02,8.994881826705639072e-02,3.389294933593575698e-02,2.821646328672058890e-01,2.938396455367603965e-01,1.654130100017941751e-01,0.000000000000000000e+00
1.359999999999996767e+01,7.642661843723976001e-02,9.005734099683902760e-02,3.374968476143914292e-02,2.842132867959427101e-01,2.965994175592541748e-01,1.666847202307635833e-01,0.000000000000000000e+00
1.369999999999996732e+01,7.635657723131830665e-02,9.016530575937271863e-02,3.360637907018332315e-02,2.862619931723782707e-01,2.993708488968999659e-01,1.679591381867719668e-01,0.000000000000000000e+00
1.379999999999996696e+01,7.628674981777365527e-02,9.027271356481399167e-02,3.346303306767156593e-02,2.883107628029395464e-01,3.021540324526323373e-01,1.692363141015781891e-01,0.000000000000000000e+00
1.389999999999996660e+01,7.621713742303695693e-02,9.037956542415666317e-02,3.331964755160853747e-02,2.903596063036193442e-01,3.049490621276893521e-01,1.705162985090619143e-01,0.000000000000000000e+00
1.399999999999996625e+01,7.614774126588158554e-02,9.048586234915503845e-02,3.317622331192311702e-02,2.924085340951921297e-01,3.077560328343327267e-01,1.717991422511462862e-01,0.000000000000000000e+00
1.409999999999996589e+01,7.607856255744123442e-02,9.059160535224758393e-02,3.303276113079146870e-02,2.944575563983132249e-01,3.105750405087555066e-01,1.730848964837946591e-01,0.000000000000000000e+00
1.419999999999996554e+01,7.600960250122817952e-02,9.069679544648118208e-02,3.288926178266039779e-02,2.965066832284992682e-01,3.134061821241809209e-01,1.743736126830826849e-01,0.000000000000000000e+00
1.429999999999996518e+01,7.594086229315187564e-02,9.080143364543573348e-02,3.274572603427097078e-02,2.985559243909866045e-01,3.162495557041550276e-01,1.756653426513472560e-01,0.000000000000000000e+00
